[-],[km^2],[mm],[mm],[mm],[mm],[mm],[-],[-],[-],[%],[mm],[mm],[mm],[mm],[m^3],[-],[-],[-],[-] 
filename,A,S1_0,S2_0,S3_0,BS_0,SS_0,BFI,Kbase,Ksurf,A_i,C1,C2,C3,Cavg,Qsum,R2,NSE,RMSE,PBIAS 
results_ExportTest2-21.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",6.75,68.58,137.16,90,143442124.5944487,0.2109881687621504,-48.00540841857341,2182163.6669557393,-724.0096956106432 
results_ExportTest2-22.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",6.825,69.342,138.684,91,142814191.93347675,0.2109925625482883,-47.59613706581873,2173032.332073761,-720.4025083754126 
results_ExportTest2-23.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",6.9,70.104,140.208,92,142186259.2725048,0.21099339462881664,-47.18905417139572,2163911.600509397,-716.7953211401818 
results_ExportTest2-24.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",6.975,70.866,141.732,93,141558326.6115329,0.21099060923264248,-46.784159735304385,2154801.6069061575,-713.1881339049513 
results_ExportTest2-25.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.05,71.628,143.256,94,140930393.95056102,0.21098415009187785,-46.38145375754477,2145702.4880342996,-709.5809466697209 
results_ExportTest2-26.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.125,72.39,144.78,95,140302461.28958905,0.21097396044625683,-45.98093623811675,2136614.382829247,-705.97375943449 
results_ExportTest2-27.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.2,73.152,146.304,96,139674528.62861717,0.2109599830479213,-45.58260717702048,2127537.4324307516,-702.3665721992597 
results_ExportTest2-28.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.275,73.914,147.828,97,139046595.96764523,0.21094216016658748,-45.18646657425583,2118471.7802227777,-698.7593849640292 
results_ExportTest2-29.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.35,74.676,149.352,98,138418663.30667332,0.21092043359510093,-44.79251442982284,2109417.5718741645,-695.1521977287985 
results_ExportTest2-30.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.425,75.438,150.876,99,137913487.2505626,0.2107662048243448,-44.4697845562143,2101971.204470737,-692.2501912965703 
results_ExportTest2-31.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.5,76.2,152.4,100,137475945.32521105,0.2105388397526215,-44.18634040697741,2095409.4531408458,-689.7367121512691 
results_ExportTest2-32.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.575,76.962,153.924,101,137039209.70147762,0.2103015735374263,-43.90251399866737,2088818.1979819173,-687.2278648416494 
results_ExportTest2-33.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.65,77.724,155.448,102,136602490.3614569,0.2100623107793654,-43.61969501072859,2082229.5845586644,-684.7191110745453 
results_ExportTest2-34.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.725,78.486,156.972,103,136165771.02143618,0.2098211987374512,-43.33791221369236,2075644.311462631,-682.210357307441 
results_ExportTest2-35.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.8,79.248,158.496,104,135729051.6814155,0.20957822289490646,-43.0571656075587,2069062.4105879264,-679.7016035403371 
results_ExportTest2-36.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.875,80.01,160.02,105,135292332.34139484,0.20933336863522933,-42.77745519232758,2062483.9142193492,-677.192849773233 
results_ExportTest2-37.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",7.95,80.772,161.544,106,134855613.0013741,0.20908662124206798,-42.498780967999,2055908.8550381123,-674.6840960061288 
results_ExportTest2-38.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.025,81.534,163.068,107,134418893.6613534,0.20883796589911507,-42.22114293457296,2049337.2661276578,-672.1753422390249 
results_ExportTest2-39.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.1,82.296,164.592,108,133982174.3213327,0.20858738769002005,-41.94454109204948,2042769.180979572,-669.6665884719207 
results_ExportTest2-40.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.175,83.058,166.116,109,133545454.98131199,0.20833487159832198,-41.66897544042853,2036204.6334995965,-667.1578347048165 
results_ExportTest2-41.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.25,83.82,167.64,110,133108735.64129129,0.20808040250740323,-41.39444597971015,2029643.6580137436,-664.6490809377125 
results_ExportTest2-42.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.325,84.582,169.164,111,132672016.3012706,0.20782396520046292,-41.120952709894304,2023086.2892745084,-662.1403271706084 
results_ExportTest2-43.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.4,85.344,170.688,112,132235296.96124984,0.20756554436051397,-40.848495630980985,2016532.5624671907,-659.631573403504 
results_ExportTest2-44.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.475,86.106,172.212,113,131798577.62122914,0.20730512457040137,-40.577074742970254,2009982.5132163218,-657.1228196363999 
