Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-01-02,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-01-03,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-01-04,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-01-05,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-01-06,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-01-07,16.13184634,6.878303388,9.253542952,6.3,6.3,6.3,2.9535429520000003,2.9535429520000003,2.9535429520000003,2.9535429520000003,1.0337400332,1.9198029188000003,0.9820530315399999,1.8681159171400004,0.051687001660000044,0.051687001660000044,0.10337400332000009,399950.5781447539
7,1985-01-08,26.36965701,5.312735147,21.056921863,6.3,6.3,6.3,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.9343768994105,15.137516343910502,0.41759878417950036,0.41759878417950036,0.8351975683590007,3231351.5932651083
8,1985-01-09,7.680103929,5.555099494,2.125004435,6.3,6.3,6.3,2.125004435,2.125004435,2.125004435,2.125004435,0.74375155225,1.3812528827500001,8.244222029077475,16.084862804077478,0.4339064225830254,0.4339064225830254,0.8678128451660508,3357539.013664712
9,1985-01-10,0.076426345,6.416250978,-6.339824633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.832010927623601,15.672651702623604,0.41221110145387413,0.41221110145387413,0.8244222029077483,3189662.062981476
10,1985-01-11,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.440410381242421,15.281051156242423,0.3916005463811804,0.3916005463811804,0.7832010927623608,3030178.9598324024
11,1985-01-12,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.068389862180299,14.909030637180301,0.37202051906212136,0.37202051906212136,0.7440410381242427,2878670.0118407826
