Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-02-01,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-03-01,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-04-01,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-05-01,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-06-01,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-07-01,16.13184634,6.878303388,9.253542952,9.253542952,9.253542952,9.253542952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1985-08-01,26.36965701,5.312735147,21.056921863,9.45,9.45,9.45,20.860464815,20.860464815,20.860464815,20.860464815,7.30116268525,13.55930212975,6.9361045509874995,13.194243995487499,0.3650581342625003,0.3650581342625003,0.7301162685250006,2824795.5417333455
8,1985-09-01,7.680103929,5.555099494,2.125004435,9.45,9.45,9.45,2.125004435000001,2.125004435000001,2.125004435000001,2.125004435000001,0.7437515522500003,1.3812528827500008,7.295863298075624,14.191504073075624,0.38399280516187534,0.38399280516187534,0.7679856103237507,2971310.7647095374
9,1985-10-01,0.076426345,6.416250978,-6.339824633,3.110175366999999,3.110175366999999,3.110175366999999,0.0,0.0,0.0,0.0,0.0,0.0,6.9310701331718425,13.826710908171842,0.36479316490378155,0.36479316490378155,0.7295863298075631,2822745.2264740607
10,1985-11-01,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58451662651325,13.48015740151325,0.3465535066585924,0.3465535066585924,0.6931070133171848,2681607.9651503568
11,1985-12-01,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.255290795187587,13.150931570187586,0.3292258313256628,0.3292258313256628,0.6584516626513256,2547527.566892839
12,1985-01-13,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9425262554282074,12.838167030428206,0.3127645397593796,0.3127645397593796,0.6255290795187592,2420151.188548197
