Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-02-01,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-03-01,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-04-01,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-05-01,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-06-01,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-07-01,16.13184634,6.878303388,9.253542952,7.05,7.05,7.05,2.2035429520000003,2.2035429520000003,2.2035429520000003,2.2035429520000003,0.7712400332,1.4323029188000003,0.73267803154,1.3937409171400001,0.03856200166000003,0.03856200166000003,0.07712400332000006,298390.20184975374
7,1985-08-01,26.36965701,5.312735147,21.056921863,7.05,7.05,7.05,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.6974706494105,14.675610093910501,0.40513003417950033,0.40513003417950033,0.8102600683590007,3134869.2357848585
8,1985-09-01,7.680103929,5.555099494,2.125004435,7.05,7.05,7.05,2.125004435,2.125004435,2.125004435,2.125004435,0.74375155225,1.3812528827500001,8.019161091577475,15.634801866577476,0.4220611100830254,0.4220611100830254,0.8441222201660508,3265880.774058474
9,1985-10-01,0.076426345,6.416250978,-6.339824633,0.7101753669999997,0.7101753669999997,0.7101753669999997,0.0,0.0,0.0,0.0,0.0,0.0,7.618203036998601,15.233843811998602,0.4009580545788741,0.4009580545788741,0.8019161091577482,3102586.735355551
10,1985-11-01,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.237292885148671,14.852933660148672,0.3809101518499304,0.3809101518499304,0.7618203036998608,2947457.398587773
11,1985-12-01,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875428240891237,14.491069015891238,0.36186464425743387,0.36186464425743387,0.7237292885148677,2800084.528658384
12,1985-01-13,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.531656828846675,14.147297603846676,0.3437714120445622,0.3437714120445622,0.6875428240891244,2660080.3022254654
