Day,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q,Q_obs
0,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357440.0
1,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320660.0
2,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261870.0
3,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226440.0
4,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205860.0
5,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207460.0
6,16.13184634,6.878303388,9.253542952,8.85,8.85,8.85,0.40354295200000045,0.40354295200000045,0.40354295200000045,0.40354295200000045,0.14124003320000014,0.2623029188000003,0.13417803154000013,0.25524091714000025,0.007062001660000013,0.007062001660000013,0.014124003320000026,54645.2987417536,500260.0
7,26.36965701,5.312735147,21.056921863,8.85,8.85,8.85,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.1288956494105,13.567035093910501,0.37520503417950035,0.37520503417950035,0.7504100683590007,2903311.5778322583,1141570.0
8,7.680103929,5.555099494,2.125004435,8.85,8.85,8.85,2.1250044349999992,2.1250044349999992,2.1250044349999992,2.1250044349999992,0.7437515522499997,1.3812528827499995,7.479014841577475,14.554655616577476,0.3936323600830253,0.3936323600830253,0.7872647201660506,3045900.999003504,1826320.0
9,0.076426345,6.416250978,-6.339824633,2.5101753669999995,2.5101753669999995,2.5101753669999995,0.0,0.0,0.0,0.0,0.0,0.0,7.105064099498601,14.180704874498602,0.3739507420788741,0.3739507420788741,0.7479014841577482,2893605.949053329,1099420.0
10,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74981089452367,13.825451669523671,0.35525320497493035,0.35525320497493035,0.7105064099498607,2748925.651600662,633050.0
11,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.412320349797486,13.487961124797488,0.33749054472618384,0.33749054472618384,0.6749810894523677,2611479.369020629,407600.0
12,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.091704332307612,13.167345107307614,0.3206160174898746,0.3206160174898746,0.6412320349797492,2480905.4005695977,299220.0
13,0.0,6.029483829,-6.029483829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.787119115692231,12.862759890692233,0.30458521661538085,0.30458521661538085,0.6091704332307617,2356860.1305411174,235230.0
14,0.0,5.795325802,-5.795325802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.497763159907619,12.573403934907622,0.28935595578461176,0.28935595578461176,0.5787119115692235,2239017.124014061,190800.0
15,0.0,6.041621874,-6.041621874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.222875001912238,12.298515776912241,0.2748881579953812,0.2748881579953812,0.5497763159907624,2127066.2678133585,158240.0
16,0.0,6.565525455,-6.565525455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.961731251816626,12.037372026816628,0.26114375009561214,0.26114375009561214,0.5222875001912243,2020712.9544226902,141530.0
17,0.674244555,5.407655251,-4.733410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.713644689225794,11.789285464225797,0.2480865625908315,0.2480865625908315,0.496173125181663,1919677.3067015556,133260.0
18,11.782044,4.405401108,7.3766428920000005,7.3766428920000005,7.3766428920000005,7.3766428920000005,0.0,0.0,0.0,0.0,0.0,0.0,4.477962454764504,11.553603229764507,0.2356822344612899,0.2356822344612899,0.4713644689225798,1823693.4413664779,220010.0
19,0.0,4.023577008,-4.023577008,3.3530658840000003,3.3530658840000003,3.3530658840000003,0.0,0.0,0.0,0.0,0.0,0.0,4.254064332026279,11.329705107026282,0.2238981227382254,0.2238981227382254,0.4477962454764508,1732508.769298154,206910.0
20,0.000418827,5.130732427,-5.1303136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.041361115424965,11.117001890424968,0.21270321660131414,0.21270321660131414,0.4254064332026283,1645883.3308332462,183030.0
21,0.0,5.462528205,-5.462528205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8392930596537163,10.91493383465372,0.20206805577124842,0.20206805577124842,0.40413611154249685,1563589.1642915837,155790.0
22,11.74209693,4.240612247,7.501484683000001,7.501484683000001,7.501484683000001,7.501484683000001,0.0,0.0,0.0,0.0,0.0,0.0,3.64732840667103,10.722969181671035,0.19196465298268597,0.19196465298268597,0.38392930596537195,1485409.7060770043,147990.0
23,20.59047187,4.743624237,15.846847633,8.85,8.85,8.85,14.498332316,14.498332316,14.498332316,14.498332316,5.0744163106,9.4239160054,8.285657481407478,19.710797951207482,0.43608723586355186,0.43608723586355186,0.8721744717271037,3374414.0016570473,916690.0
24,5.222102023,2.55535382,2.6667482029999996,8.85,8.85,8.85,2.666748202999999,2.666748202999999,2.666748202999999,2.666748202999999,0.9333618710499997,1.7333863319499996,8.758068384834603,20.98323331553461,0.4609509676228743,0.4609509676228743,0.9219019352457486,3566807.9028817886,1086280.0
25,0.086330103,4.130525348,-4.044195245,4.805804755,4.805804755,4.805804755,0.0,0.0,0.0,0.0,0.0,0.0,8.320164965592873,20.545329896292877,0.43790341924173054,0.43790341924173054,0.8758068384834611,3388467.507737699,622750.0
26,0.085129506,5.220518186,-5.135388679999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.90415671731323,20.12932164801323,0.41600824827964406,0.41600824827964406,0.8320164965592881,3219044.1323508145,413270.0
27,0.000181199,6.228297058,-6.228115859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.508948881447568,19.73411381214757,0.3952078358656618,0.3952078358656618,0.7904156717313237,3058091.9257332734,313350.0
28,0.01014196,4.454174879,-4.444032919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.133501437375189,19.35866636807519,0.37544744407237873,0.37544744407237873,0.7508948881447575,2905187.3294466096,251470.0
29,0.0,5.466951161,-5.466951161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776826365506429,19.00199129620643,0.3566750718687598,0.3566750718687598,0.7133501437375196,2759927.962974279,204260.0
30,0.140159629,6.184295192,-6.044135563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.437985047231107,18.66314997793111,0.33884131827532177,0.33884131827532177,0.6776826365506435,2621931.564825565,171760.0
31,0.0,3.049335191,-3.049335191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1160857948695515,18.341250725569555,0.32189925236155564,0.32189925236155564,0.6437985047231113,2490834.986584286,150880.0
32,1.680720913,4.272544749,-2.5918238359999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.810281505126074,18.035446435826078,0.30580428974347784,0.30580428974347784,0.6116085794869557,2366293.237255072,130880.0
33,0.00638761,3.624537716,-3.618150106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51976742986977,17.744932360569774,0.29051407525630396,0.29051407525630396,0.5810281505126079,2247978.5753923184,113090.0
34,0.010236704,4.773344491,-4.763107786999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2437790583762816,17.468943989076283,0.27598837149348876,0.27598837149348876,0.5519767429869775,2135579.6466227025,104260.0
35,0.010322638,4.048474176,-4.038151538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.981590105457467,17.206755036157467,0.26218895291881433,0.26218895291881433,0.5243779058376287,2028800.6642915674,95930.0
36,0.974121359,3.217464276,-2.2433429169999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.732510600184594,16.957675530884593,0.2490795052728736,0.2490795052728736,0.4981590105457472,1927360.6310769888,91890.0
37,0.488687162,5.87913903,-5.390451868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.495885070175364,16.721050000875362,0.23662553000922992,0.23662553000922992,0.47325106001845985,1830992.5995231397,87950.0
38,0.249255382,3.124070152,-2.87481477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.271090816666595,16.496255747366593,0.2247942535087684,0.2247942535087684,0.4495885070175368,1739442.9695469823,85290.0
39,1.903996918,2.832301111,-0.928304193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0575362758332645,16.282701206533265,0.21355454083332992,0.21355454083332992,0.42710908166665984,1652470.8210696327,87680.0
40,0.109637744,4.778889882,-4.669252138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8546594620416013,16.0798243927416,0.2028768137916634,0.2028768137916634,0.4057536275833268,1569847.2800161508,74820.0
41,0.989758919,5.32241883,-4.332659911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.661926488939521,15.88709141963952,0.19273297310208024,0.19273297310208024,0.38546594620416047,1491354.9160153435,70620.0
