Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-01-02,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-01-03,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-01-04,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-01-05,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-01-06,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-01-07,16.13184634,6.878303388,9.253542952,7.2,7.2,7.2,2.053542952,2.053542952,2.053542952,2.053542952,0.7187400331999999,1.3348029188,0.6828030315399999,1.2988659171399999,0.03593700166000003,0.03593700166000003,0.07187400332000006,278078.12659075373
7,1985-01-08,26.36965701,5.312735147,21.056921863,7.2,7.2,7.2,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.650089399410499,14.5832288439105,0.4026362841795003,0.4026362841795003,0.8052725683590006,3115572.764288808
8,1985-01-09,7.680103929,5.555099494,2.125004435,7.2,7.2,7.2,2.125004435,2.125004435,2.125004435,2.125004435,0.74375155225,1.3812528827500001,7.974148904077474,15.544789679077477,0.4196920475830253,0.4196920475830253,0.8393840951660506,3247549.1261372264
9,1985-01-10,0.076426345,6.416250978,-6.339824633,0.8601753670000001,0.8601753670000001,0.8601753670000001,0.0,0.0,0.0,0.0,0.0,0.0,7.5754414588736,15.146082233873603,0.398707445203874,0.398707445203874,0.797414890407748,3085171.669830365
10,1985-01-11,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19666938592992,14.767310160929922,0.3787720729436803,0.3787720729436803,0.7575441458873606,2930913.0863388465
11,1985-01-12,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.836835916633424,14.407476691633425,0.35983346929649634,0.35983346929649634,0.7196669385929927,2784367.4320219047
