Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-01-02,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-01-03,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-01-04,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-01-05,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-01-06,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-01-07,16.13184634,6.878303388,9.253542952,7.95,7.95,7.95,1.303542952,1.303542952,1.303542952,1.303542952,0.45624003319999995,0.8473029188,0.4334280315399999,0.82449091714,0.02281200166000002,0.02281200166000002,0.04562400332000004,176517.75029575365
7,1985-01-08,26.36965701,5.312735147,21.056921863,7.95,7.95,7.95,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.413183149410499,14.1213225939105,0.39016753417950034,0.39016753417950034,0.7803350683590007,3019090.4068085584
8,1985-01-09,7.680103929,5.555099494,2.125004435,7.95,7.95,7.95,2.125004435,2.125004435,2.125004435,2.125004435,0.74375155225,1.3812528827500001,7.749087966577474,15.094728741577475,0.4078467350830254,0.4078467350830254,0.8156934701660508,3155890.8865309893
9,1985-01-10,0.076426345,6.416250978,-6.339824633,1.610175367,1.610175367,1.610175367,0.0,0.0,0.0,0.0,0.0,0.0,7.3616335682486005,14.707274343248601,0.3874543983288741,0.3874543983288741,0.7749087966577481,2998096.34220444
10,1985-01-11,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99355188983617,14.33919266483617,0.36808167841243034,0.36808167841243034,0.7361633568248607,2848191.525094217
11,1985-01-12,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.643874295344362,13.989515070344362,0.3496775944918088,0.3496775944918088,0.6993551889836176,2705781.9488395066
