Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-02-01,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-03-01,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-04-01,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-05-01,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-06-01,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-07-01,16.13184634,6.878303388,9.253542952,6.075,6.075,6.075,3.178542952,3.178542952,3.178542952,3.178542952,1.1124900331999998,2.0660529188,1.0568655315399997,2.01042841714,0.05562450166000004,0.05562450166000004,0.11124900332000008,430418.6910332538
7,1985-08-01,26.36965701,5.312735147,21.056921863,6.075,6.075,6.075,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,8.005448774410498,15.2760882189105,0.4213394091795003,0.4213394091795003,0.8426788183590006,3260296.300509183
8,1985-09-01,7.680103929,5.555099494,2.125004435,6.075,6.075,6.075,2.125004435,2.125004435,2.125004435,2.125004435,0.74375155225,1.3812528827500001,8.311740310327473,16.219881085327476,0.4374600163330253,0.4374600163330253,0.8749200326660506,3385036.4855465824
9,1985-10-01,0.076426345,6.416250978,-6.339824633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.896153294811098,15.804294069811101,0.415587015516374,0.415587015516374,0.831174031032748,3215784.661269253
10,1985-11-01,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.501345630070543,15.409486405070545,0.3948076647405553,0.3948076647405553,0.7896153294811106,3054995.4282057905
11,1985-12-01,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.126278348567015,15.034419123567018,0.37506728150352747,0.37506728150352747,0.7501345630070549,2902245.656795501
12,1985-01-13,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.769964431138664,14.678105206138667,0.3563139174283511,0.3563139174283511,0.7126278348567022,2757133.3739557257
