Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-01-02,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-01-03,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-01-04,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-01-05,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-01-06,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-01-07,16.13184634,6.878303388,9.253542952,5.55,5.55,5.55,3.7035429520000003,3.7035429520000003,3.7035429520000003,3.7035429520000003,1.2962400332,2.4073029188,1.23142803154,2.34249091714,0.06481200166000005,0.06481200166000005,0.1296240033200001,501510.95443975384
7,1985-01-08,26.36965701,5.312735147,21.056921863,5.55,5.55,5.55,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,8.171283149410499,15.5994225939105,0.43006753417950033,0.43006753417950033,0.8601350683590007,3327833.9507453586
8,1985-01-09,7.680103929,5.555099494,2.125004435,5.55,5.55,5.55,2.125004435,2.125004435,2.125004435,2.125004435,0.74375155225,1.3812528827500001,8.469282966577474,16.534923741577476,0.44575173508302535,0.44575173508302535,0.8915034701660507,3449197.2532709492
9,1985-01-10,0.076426345,6.416250978,-6.339824633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0458188182486,16.1114595932486,0.4234641483288741,0.4234641483288741,0.8469282966577482,3276737.3906074017
10,1985-01-11,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64352787733617,15.70916865233617,0.40229094091243034,0.40229094091243034,0.8045818818248607,3112900.5210770313
11,1985-01-12,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.261351483469361,15.326992258469362,0.38217639386680885,0.38217639386680885,0.7643527877336177,2957255.4950231803
