Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-01-02,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-01-03,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-01-04,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-01-05,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-01-06,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-01-07,16.13184634,6.878303388,9.253542952,7.65,7.65,7.65,1.6035429519999997,1.6035429519999997,1.6035429519999997,1.6035429519999997,0.5612400331999998,1.0423029188,0.5331780315399998,1.01424091714,0.028062001660000016,0.028062001660000016,0.05612400332000003,217141.90081375363
7,1985-01-08,26.36965701,5.312735147,21.056921863,7.65,7.65,7.65,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.507945649410499,14.3060850939105,0.3951550341795003,0.3951550341795003,0.7903100683590006,3057683.3498006584
8,1985-01-09,7.680103929,5.555099494,2.125004435,7.65,7.65,7.65,2.1250044349999992,2.1250044349999992,2.1250044349999992,2.1250044349999992,0.7437515522499997,1.3812528827499995,7.839112341577473,15.274753116577473,0.41258486008302525,0.41258486008302525,0.8251697201660505,3192554.1823734837
9,1985-01-10,0.076426345,6.416250978,-6.339824633,1.3101753670000003,1.3101753670000003,1.3101753670000003,0.0,0.0,0.0,0.0,0.0,0.0,7.4471567244985994,14.882797499498599,0.391955617078874,0.391955617078874,0.783911234157748,3032926.473254809
10,1985-01-11,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.074798888273669,14.510439663273669,0.3723578362249303,0.3723578362249303,0.7447156724498606,2881280.149592069
11,1985-01-12,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.721058943859985,14.156699718859985,0.3537399444136838,0.3537399444136838,0.7074798888273676,2737216.1421124656
