Day,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q,Q_obs
0,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357440.0
1,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320660.0
2,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261870.0
3,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226440.0
4,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205860.0
5,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207460.0
6,16.13184634,6.878303388,9.253542952,9.253542952,9.253542952,9.253542952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500260.0
7,26.36965701,5.312735147,21.056921863,10.425,10.425,10.425,19.885464815,19.885464815,19.885464815,19.885464815,6.959912685249999,12.925552129749999,6.611917050987499,12.5775564954875,0.34799563426250024,0.34799563426250024,0.6959912685250005,2692767.0525498455,1141570.0
8,7.680103929,5.555099494,2.125004435,10.425,10.425,10.425,2.125004435000001,2.125004435000001,2.125004435000001,2.125004435000001,0.7437515522500003,1.3812528827500008,6.9878851730756235,13.591025948075625,0.36778343016187526,0.36778343016187526,0.7355668603237505,2845883.6999852117,1826320.0
9,0.076426345,6.416250978,-6.339824633,4.085175367000001,4.085175367000001,4.085175367000001,0.0,0.0,0.0,0.0,0.0,0.0,6.638490914421842,13.241631689421844,0.3493942586537815,0.3493942586537815,0.698788517307563,2703589.514985951,1099420.0
10,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.30656636870075,12.909707143700752,0.3319245457210924,0.3319245457210924,0.6638490914421848,2568410.0392366536,633050.0
11,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9912380502657125,12.594378825265714,0.3153283184350378,0.3153283184350378,0.6306566368700756,2439989.5372748207,407600.0
12,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6916761477524265,12.294816922752428,0.2995619025132859,0.2995619025132859,0.5991238050265718,2317990.06041108,299220.0
13,0.0,6.029483829,-6.029483829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407092340364805,12.010233115364807,0.28458380738762157,0.28458380738762157,0.5691676147752431,2202090.5573905255,235230.0
14,0.0,5.795325802,-5.795325802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.136737723346565,11.739878498346567,0.2703546170182405,0.2703546170182405,0.540709234036481,2091986.0295209992,190800.0
15,0.0,6.041621874,-6.041621874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.879900837179236,11.483041612179239,0.25683688616732847,0.25683688616732847,0.5136737723346569,1987386.7280449492,158240.0
16,0.0,6.565525455,-6.565525455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.635905795320275,11.239046570320276,0.24399504185896204,0.24399504185896204,0.4879900837179241,1888017.3916427018,141530.0
17,0.674244555,5.407655251,-4.733410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.404110505554261,11.007251280554263,0.23179528976601393,0.23179528976601393,0.46359057953202787,1793616.5220605668,133260.0
18,11.782044,4.405401108,7.3766428920000005,7.3766428920000005,7.3766428920000005,7.3766428920000005,0.0,0.0,0.0,0.0,0.0,0.0,4.183904980276548,10.78704575527655,0.22020552527771323,0.22020552527771323,0.44041105055542645,1703935.6959575384,220010.0
19,0.0,4.023577008,-4.023577008,3.3530658840000003,3.3530658840000003,3.3530658840000003,0.0,0.0,0.0,0.0,0.0,0.0,3.9747097312627204,10.577850506262722,0.20919524901382758,0.20919524901382758,0.41839049802765516,1618738.9111596616,206910.0
20,0.000418827,5.130732427,-5.1303136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7759742446995843,10.379115019699586,0.1987354865631362,0.1987354865631362,0.3974709731262724,1537801.9656016785,183030.0
21,0.0,5.462528205,-5.462528205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.587175532464605,10.190316307464608,0.18879871223497938,0.18879871223497938,0.37759742446995875,1460911.8673215944,155790.0
22,11.74209693,4.240612247,7.501484683000001,7.501484683000001,7.501484683000001,7.501484683000001,0.0,0.0,0.0,0.0,0.0,0.0,3.407816755841375,10.010957530841377,0.1793587766232304,0.1793587766232304,0.3587175532464608,1387866.2739555147,147990.0
23,20.59047187,4.743624237,15.846847633,10.425,10.425,10.425,12.923332316,12.923332316,12.923332316,12.923332316,4.5231663106,8.400166005400001,7.534433913119305,18.014574382919307,0.3965491533220691,0.3965491533220691,0.7930983066441382,3068470.950922132,916690.0
24,5.222102023,2.55535382,2.6667482029999996,10.425,10.425,10.425,2.666748202999999,2.666748202999999,2.666748202999999,2.666748202999999,0.9333618710499997,1.7333863319499996,8.044405994960838,19.324570925660844,0.4233897892084656,0.4233897892084656,0.8467795784169312,3276162.004683619,1086280.0
25,0.086330103,4.130525348,-4.044195245,6.380804755000001,6.380804755000001,6.380804755000001,0.0,0.0,0.0,0.0,0.0,0.0,7.642185695212796,18.922350625912802,0.4022202997480423,0.4022202997480423,0.8044405994960846,3112353.9044494377,622750.0
26,0.085129506,5.220518186,-5.135388679999999,1.2454160750000014,1.2454160750000014,1.2454160750000014,0.0,0.0,0.0,0.0,0.0,0.0,7.2600764104521565,18.54024134115216,0.38210928476064016,0.38210928476064016,0.7642185695212803,2956736.2092269654,413270.0
27,0.000181199,6.228297058,-6.228115859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.897072589929548,18.177237520629554,0.36300382052260816,0.36300382052260816,0.7260076410452163,2808899.3987656175,313350.0
28,0.01014196,4.454174879,-4.444032919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.552218960433071,17.832383891133077,0.34485362949647774,0.34485362949647774,0.6897072589929555,2668454.4288273365,251470.0
29,0.0,5.466951161,-5.466951161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.224608012411417,17.504772943111423,0.3276109480216538,0.3276109480216538,0.6552218960433076,2535031.7073859693,204260.0
30,0.140159629,6.184295192,-6.044135563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.913377611790845,17.193542542490853,0.3112304006205711,0.3112304006205711,0.6224608012411422,2408280.1220166706,171760.0
31,0.0,3.049335191,-3.049335191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6177087312013025,16.89787366190131,0.29566888058954255,0.29566888058954255,0.5913377611790851,2287866.115915837,150880.0
32,1.680720913,4.272544749,-2.5918238359999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3368232946412375,16.616988225341245,0.28088543656006537,0.28088543656006537,0.5617708731201307,2173472.8101200447,130880.0
33,0.00638761,3.624537716,-3.618150106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.069982129909175,16.35014706060918,0.2668411647320621,0.2668411647320621,0.5336823294641242,2064799.1696140429,113090.0
34,0.010236704,4.773344491,-4.763107786999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.816483023413716,16.096647954113724,0.253499106495459,0.253499106495459,0.506998212990918,1961559.2111333406,104260.0
35,0.010322638,4.048474176,-4.038151538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5756588722430305,15.855823802943037,0.24082415117068603,0.24082415117068603,0.48164830234137207,1863481.2505766735,95930.0
36,0.974121359,3.217464276,-2.2433429169999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.346875928630879,15.627040859330886,0.22878294361215173,0.22878294361215173,0.45756588722430347,1770307.1880478398,91890.0
37,0.488687162,5.87913903,-5.390451868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.129532132199334,15.409697062899342,0.21734379643154414,0.21734379643154414,0.4346875928630883,1681791.8286454477,87950.0
38,0.249255382,3.124070152,-2.87481477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9230555255893673,15.203220456289376,0.2064766066099669,0.2064766066099669,0.4129532132199338,1597702.2372131748,85290.0
39,1.903996918,2.832301111,-0.928304193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.726902749309899,15.007067680009907,0.19615277627946853,0.19615277627946853,0.39230555255893707,1517817.125352516,87680.0
40,0.109637744,4.778889882,-4.669252138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5405576118444038,14.820722542544413,0.1863451374654951,0.1863451374654951,0.3726902749309902,1441926.2690848904,74820.0
41,0.989758919,5.32241883,-4.332659911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3635297312521835,14.643694661952193,0.17702788059222035,0.17702788059222035,0.3540557611844407,1369829.9556306459,70620.0
