Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-01-02,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-01-03,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-01-04,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-01-05,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-01-06,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-01-07,16.13184634,6.878303388,9.253542952,8.4,8.4,8.4,0.8535429519999997,0.8535429519999997,0.8535429519999997,0.8535429519999997,0.29874003319999987,0.5548029187999999,0.28380303153999986,0.5398659171399999,0.014937001660000006,0.014937001660000006,0.029874003320000012,115581.52451875355
7,1985-01-08,26.36965701,5.312735147,21.056921863,8.4,8.4,8.4,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.271039399410499,13.8441788439105,0.3826862841795003,0.3826862841795003,0.7653725683590006,2961200.9923204076
8,1985-01-09,7.680103929,5.555099494,2.125004435,8.4,8.4,8.4,2.1250044349999992,2.1250044349999992,2.1250044349999992,2.1250044349999992,0.7437515522499997,1.3812528827499995,7.614051404077474,14.824692179077473,0.4007395475830253,0.4007395475830253,0.8014790951660506,3100895.942767246
9,1985-01-10,0.076426345,6.416250978,-6.339824633,2.0601753670000003,2.0601753670000003,2.0601753670000003,0.0,0.0,0.0,0.0,0.0,0.0,7.2333488338736,14.443989608873599,0.380702570203874,0.380702570203874,0.761405140407748,2945851.1456288835
10,1985-01-11,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.871681392179919,14.08232216717992,0.3616674416936803,0.3616674416936803,0.7233348833873606,2798558.5883474397
11,1985-01-12,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.528097322570923,13.738738097570923,0.3435840696089963,0.3435840696089963,0.6871681392179926,2658630.6589300674
