Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-01-02,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-01-03,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-01-04,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-01-05,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-01-06,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-01-07,16.13184634,6.878303388,9.253542952,9.253542952,9.253542952,9.253542952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1985-01-08,26.36965701,5.312735147,21.056921863,10.875,10.875,10.875,19.435464815,19.435464815,19.435464815,19.435464814999996,6.802412685249998,12.633052129749998,6.462292050987498,12.292931495487498,0.3401206342625002,0.3401206342625002,0.6802412685250004,2631830.8267728454
8,1985-01-09,7.680103929,5.555099494,2.125004435,10.875,10.875,10.875,2.125004435000001,2.125004435000001,2.125004435000001,2.125004435000001,0.7437515522500003,1.3812528827500008,6.845741423075623,13.313882198075623,0.36030218016187526,0.36030218016187526,0.7206043603237505,2787994.285497062
9,1985-01-10,0.076426345,6.416250978,-6.339824633,4.535175367,4.535175367,4.535175367,0.0,0.0,0.0,0.0,0.0,0.0,6.5034543519218415,12.97159512692184,0.34228707115378143,0.34228707115378143,0.6845741423075629,2648594.571222208
10,1985-01-11,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.178281634325749,12.646422409325748,0.32517271759609234,0.32517271759609234,0.6503454351921847,2516164.8426610976
11,1985-01-12,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.869367552609462,12.33750832760946,0.30891408171628776,0.30891408171628776,0.6178281634325755,2390356.6005280428
