Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-02-01,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-03-01,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-04-01,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-05-01,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-06-01,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-07-01,16.13184634,6.878303388,9.253542952,9.253542952,9.253542952,9.253542952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1985-08-01,26.36965701,5.312735147,21.056921863,11.175,11.175,11.175,19.135464815,19.135464815,19.135464815,19.135464815,6.697412685249999,12.43805212975,6.362542050987499,12.1031814954875,0.33487063426250024,0.33487063426250024,0.6697412685250005,2591206.676254845
8,1985-09-01,7.680103929,5.555099494,2.125004435,11.175,11.175,11.175,2.125004435000001,2.125004435000001,2.125004435000001,2.125004435000001,0.7437515522500003,1.3812528827500008,6.750978923075624,13.129119698075625,0.3553146801618753,0.3553146801618753,0.7106293603237506,2749401.342504962
9,1985-10-01,0.076426345,6.416250978,-6.339824633,4.835175367000001,4.835175367000001,4.835175367000001,0.0,0.0,0.0,0.0,0.0,0.0,6.413429976921842,12.791570751921844,0.3375489461537815,0.3375489461537815,0.675097892307563,2611931.275379714
10,1985-11-01,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0927584780757496,12.470899253075752,0.32067149884609236,0.32067149884609236,0.6413429976921847,2481334.7116107275
11,1985-12-01,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.788120554171962,12.166261329171963,0.30463792390378774,0.30463792390378774,0.6092758478075755,2357267.976030191
12,1985-01-13,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.498714526463363,11.876855301463365,0.28940602770859836,0.28940602770859836,0.5788120554171967,2239404.5772286817
