Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-02-01,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-03-01,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-04-01,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-05-01,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-06-01,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-07-01,16.13184634,6.878303388,9.253542952,6.45,6.45,6.45,2.803542952,2.803542952,2.803542952,2.803542952,0.9812400331999999,1.8223029188,0.9321780315399998,1.7732409171399999,0.049062001660000035,0.049062001660000035,0.09812400332000007,379638.5028857538
7,1985-08-01,26.36965701,5.312735147,21.056921863,6.45,6.45,6.45,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.886995649410499,15.045135093910499,0.41510503417950034,0.41510503417950034,0.8302100683590007,3212055.1217690585
8,1985-09-01,7.680103929,5.555099494,2.125004435,6.45,6.45,6.45,2.125004435,2.125004435,2.125004435,2.125004435,0.74375155225,1.3812528827500001,8.199209841577474,15.994850616577475,0.43153736008302535,0.43153736008302535,0.8630747201660507,3339207.3657434643
9,1985-10-01,0.076426345,6.416250978,-6.339824633,0.11017536700000008,0.11017536700000008,0.11017536700000008,0.0,0.0,0.0,0.0,0.0,0.0,7.7892493494986,15.584890124498601,0.4099604920788741,0.4099604920788741,0.8199209841577482,3172246.9974562908
10,1985-11-01,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.399786882023669,15.195427657023671,0.38946246747493035,0.38946246747493035,0.7789249349498607,3013634.6475834763
11,1985-12-01,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0297975379224855,14.825438312922488,0.3699893441011838,0.3699893441011838,0.7399786882023676,2862952.915204302
12,1985-01-13,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.678307661026361,14.473948436026363,0.3514898768961246,0.3514898768961246,0.7029797537922492,2719805.2694440866
