Day,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q,Q_obs
0,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357440.0
1,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320660.0
2,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261870.0
3,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226440.0
4,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205860.0
5,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207460.0
6,16.13184634,6.878303388,9.253542952,8.25,8.25,8.25,1.003542952,1.003542952,1.003542952,1.003542952,0.3512400332,0.6523029188000001,0.33367803154000003,0.6347409171400001,0.017562001660000017,0.017562001660000017,0.035124003320000034,135893.59977775364,500260.0
7,26.36965701,5.312735147,21.056921863,8.25,8.25,8.25,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.318420649410499,13.9365600939105,0.3851800341795003,0.3851800341795003,0.7703600683590006,2980497.4638164584,1141570.0
8,7.680103929,5.555099494,2.125004435,8.25,8.25,8.25,2.125004435000001,2.125004435000001,2.125004435000001,2.125004435000001,0.7437515522500003,1.3812528827500008,7.659063591577475,14.914704366577476,0.40310861008302534,0.40310861008302534,0.8062172201660507,3119227.590688494,1826320.0
9,0.076426345,6.416250978,-6.339824633,1.910175367,1.910175367,1.910175367,0.0,0.0,0.0,0.0,0.0,0.0,7.276110411998601,14.531751186998601,0.3829531795788741,0.3829531795788741,0.7659063591577482,2963266.2111540693,1099420.0
10,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91230489139867,14.167945666398671,0.3638055205999304,0.3638055205999304,0.7276110411998608,2815102.900596366,633050.0
11,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.566689646828737,13.822330421828736,0.3456152445699338,0.3456152445699338,0.6912304891398676,2674347.755566547,407600.0
12,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2383551644873,13.493995939487299,0.32833448234143714,0.32833448234143714,0.6566689646828743,2540630.3677882203,299220.0
13,0.0,6.029483829,-6.029483829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.926437406262934,13.182078181262934,0.31191775822436524,0.31191775822436524,0.6238355164487305,2413598.8493988086,235230.0
14,0.0,5.795325802,-5.795325802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.630115535949788,12.885756310949787,0.296321870313147,0.296321870313147,0.592643740626294,2292918.9069288685,190800.0
15,0.0,6.041621874,-6.041621874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.348609759152298,12.604250534152298,0.2815057767974896,0.2815057767974896,0.5630115535949792,2178272.9615824246,158240.0
16,0.0,6.565525455,-6.565525455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081179271194683,12.336820046194683,0.26743048795761515,0.26743048795761515,0.5348609759152303,2069359.3135033038,141530.0
17,0.674244555,5.407655251,-4.733410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8271203076349485,12.08276108263495,0.2540589635597344,0.2540589635597344,0.5081179271194688,1965891.3478281389,133260.0
18,11.782044,4.405401108,7.3766428920000005,7.3766428920000005,7.3766428920000005,7.3766428920000005,0.0,0.0,0.0,0.0,0.0,0.0,4.5857642922532005,11.841405067253202,0.24135601538174764,0.24135601538174764,0.4827120307634953,1867596.7804367314,220010.0
19,0.0,4.023577008,-4.023577008,3.3530658840000003,3.3530658840000003,3.3530658840000003,0.0,0.0,0.0,0.0,0.0,0.0,4.35647607764054,11.612116852640542,0.22928821461266022,0.22928821461266022,0.45857642922532044,1774216.9414148945,206910.0
20,0.000418827,5.130732427,-5.1303136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.138652273758513,11.394293048758515,0.21782380388202718,0.21782380388202718,0.43564760776405437,1685506.0943441496,183030.0
21,0.0,5.462528205,-5.462528205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9317196600705873,11.18736043507059,0.20693261368792584,0.20693261368792584,0.4138652273758517,1601230.7896269422,155790.0
22,11.74209693,4.240612247,7.501484683000001,7.501484683000001,7.501484683000001,7.501484683000001,0.0,0.0,0.0,0.0,0.0,0.0,3.735133677067058,10.99077445206706,0.19658598300352953,0.19658598300352953,0.39317196600705906,1521169.2501455948,147990.0
23,20.59047187,4.743624237,15.846847633,8.25,8.25,8.25,15.098332316,15.098332316,15.098332316,15.098332316,5.2844163106,9.813916005400001,8.568572488283705,20.353712958083708,0.45097749938335335,0.45097749938335335,0.9019549987667067,3489633.8695582096,916690.0
24,5.222102023,2.55535382,2.6667482029999996,8.25,8.25,8.25,2.666748202999999,2.666748202999999,2.666748202999999,2.666748202999999,0.9333618710499997,1.7333863319499996,9.026837641367019,21.612002572067023,0.4750967179666856,0.4750967179666856,0.9501934359333712,3676266.7773878914,1086280.0
25,0.086330103,4.130525348,-4.044195245,4.205804755,4.205804755,4.205804755,0.0,0.0,0.0,0.0,0.0,0.0,8.575495759298667,21.16066068999867,0.45134188206835135,0.45134188206835135,0.9026837641367027,3492453.438518497,622750.0
26,0.085129506,5.220518186,-5.135388679999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.146720971333734,20.73188590203374,0.42877478796493373,0.42877478796493373,0.8575495759298675,3317830.766592572,413270.0
27,0.000181199,6.228297058,-6.228115859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.739384922767046,20.32454985346705,0.40733604856668704,0.40733604856668704,0.8146720971333741,3151939.228262943,313350.0
28,0.01014196,4.454174879,-4.444032919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.352415676628693,19.937580607328698,0.38696924613835265,0.38696924613835265,0.7739384922767053,2994342.2668497963,251470.0
29,0.0,5.466951161,-5.466951161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.984794892797258,19.569959823497264,0.367620783831435,0.367620783831435,0.73524156766287,2844625.1535073062,204260.0
30,0.140159629,6.184295192,-6.044135563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.635555148157395,19.2207200788574,0.34923974463986324,0.34923974463986324,0.6984794892797265,2702393.89583194,171760.0
31,0.0,3.049335191,-3.049335191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3037773907495245,18.88894232144953,0.33177775740787,0.33177775740787,0.66355551481574,2567274.2010403434,150880.0
32,1.680720913,4.272544749,-2.5918238359999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.988588521212048,18.573753451912054,0.3151888695374765,0.3151888695374765,0.630377739074953,2438910.490988326,130880.0
33,0.00638761,3.624537716,-3.618150106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.689159095151445,18.274324025851453,0.29942942606060263,0.29942942606060263,0.5988588521212053,2316964.966438909,113090.0
34,0.010236704,4.773344491,-4.763107786999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.404701140393873,17.98986607109388,0.2844579547575725,0.2844579547575725,0.568915909515145,2201116.718116964,104260.0
35,0.010322638,4.048474176,-4.038151538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.134466083374178,17.719631014074185,0.27023505701969386,0.27023505701969386,0.5404701140393877,2091060.8822111157,95930.0
36,0.974121359,3.217464276,-2.2433429169999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8777427792054695,17.462907709905476,0.25672330416870914,0.25672330416870914,0.5134466083374183,1986507.8381005595,91890.0
37,0.488687162,5.87913903,-5.390451868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.633855640245196,17.2190205709452,0.2438871389602737,0.2438871389602737,0.4877742779205474,1887182.4461955316,87950.0
38,0.249255382,3.124070152,-2.87481477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.402162858232936,16.98732778893294,0.23169278201226,0.23169278201226,0.46338556402452,1792823.3238857551,85290.0
39,1.903996918,2.832301111,-0.928304193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.182054715321289,16.767219646021292,0.220108142911647,0.220108142911647,0.440216285823294,1703182.157691467,87680.0
40,0.109637744,4.778889882,-4.669252138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9729519795552246,16.55811691025523,0.20910273576606464,0.20910273576606464,0.4182054715321293,1618023.0498068938,74820.0
41,0.989758919,5.32241883,-4.332659911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.774304380577463,16.35946931127747,0.1986475989777614,0.1986475989777614,0.3972951979555228,1537121.8973165492,70620.0
