Day,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q,Q_obs
0,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357440.0
1,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320660.0
2,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261870.0
3,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226440.0
4,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205860.0
5,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207460.0
6,16.13184634,6.878303388,9.253542952,7.05,7.05,7.05,2.2035429520000003,2.2035429520000003,2.2035429520000003,2.2035429520000003,0.7712400332,1.4323029188000003,0.73267803154,1.3937409171400001,0.03856200166000003,0.03856200166000003,0.07712400332000006,298390.20184975374,500260.0
7,26.36965701,5.312735147,21.056921863,7.05,7.05,7.05,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.6974706494105,14.675610093910501,0.40513003417950033,0.40513003417950033,0.8102600683590007,3134869.2357848585,1141570.0
8,7.680103929,5.555099494,2.125004435,7.05,7.05,7.05,2.125004435,2.125004435,2.125004435,2.125004435,0.74375155225,1.3812528827500001,8.019161091577475,15.634801866577476,0.4220611100830254,0.4220611100830254,0.8441222201660508,3265880.774058474,1826320.0
9,0.076426345,6.416250978,-6.339824633,0.7101753669999997,0.7101753669999997,0.7101753669999997,0.0,0.0,0.0,0.0,0.0,0.0,7.618203036998601,15.233843811998602,0.4009580545788741,0.4009580545788741,0.8019161091577482,3102586.735355551,1099420.0
10,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.237292885148671,14.852933660148672,0.3809101518499304,0.3809101518499304,0.7618203036998608,2947457.398587773,633050.0
11,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875428240891237,14.491069015891238,0.36186464425743387,0.36186464425743387,0.7237292885148677,2800084.528658384,407600.0
12,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.531656828846675,14.147297603846676,0.3437714120445622,0.3437714120445622,0.6875428240891244,2660080.3022254654,299220.0
13,0.0,6.029483829,-6.029483829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.205073987404341,13.820714762404341,0.326582841442334,0.326582841442334,0.653165682884668,2527076.2871141913,235230.0
14,0.0,5.795325802,-5.795325802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.894820288034124,13.510461063034123,0.31025369937021735,0.31025369937021735,0.6205073987404347,2400722.472758482,190800.0
15,0.0,6.041621874,-6.041621874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.600079273632417,13.215720048632416,0.29474101440170647,0.29474101440170647,0.5894820288034129,2280686.3491205582,158240.0
16,0.0,6.565525455,-6.565525455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.320075309950796,12.935716084950796,0.2800039636816211,0.2800039636816211,0.5600079273632422,2166652.03166453,141530.0
17,0.674244555,5.407655251,-4.733410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.054071544453256,12.669712319453255,0.26600376549754,0.26600376549754,0.53200753099508,2058319.4300813032,133260.0
18,11.782044,4.405401108,7.3766428920000005,7.05,7.05,7.05,0.32664289200000063,0.32664289200000063,0.32664289200000063,0.32664289200000063,0.11432501220000021,0.21231787980000041,4.9099767288205936,12.623610371420593,0.25841982783266304,0.25841982783266304,0.5168396556653261,1999635.4252780476,220010.0
19,0.0,4.023577008,-4.023577008,3.0264229919999996,3.0264229919999996,3.0264229919999996,0.0,0.0,0.0,0.0,0.0,0.0,4.664477892379564,12.378111534979563,0.2454988364410299,0.2454988364410299,0.4909976728820598,1899653.6540141453,206910.0
20,0.000418827,5.130732427,-5.1303136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.431253997760585,12.144887640360585,0.23322389461897838,0.23322389461897838,0.46644778923795677,1804670.9713134377,183030.0
21,0.0,5.462528205,-5.462528205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.209691297872555,11.923324940472556,0.22156269988802946,0.22156269988802946,0.4431253997760589,1714437.422747766,155790.0
22,11.74209693,4.240612247,7.501484683000001,7.05,7.05,7.05,0.4514846830000012,0.4514846830000012,0.4514846830000012,0.4514846830000012,0.1580196390500004,0.2934650439500008,4.149325390076428,11.998404437576427,0.21838554684612801,0.21838554684612801,0.43677109369225603,1689852.8240062562,147990.0
23,20.59047187,4.743624237,15.846847633,7.05,7.05,7.05,15.846847633,15.846847633,15.846847633,15.846847633,5.546396671549999,10.30045096145,9.210935958545106,21.814069295945107,0.48478610308132175,0.48478610308132175,0.9695722061626435,3751242.594401958,916690.0
24,5.222102023,2.55535382,2.6667482029999996,7.05,7.05,7.05,2.666748203,2.666748203,2.666748203,2.666748203,0.9333618710499999,1.73338633195,9.63708293811535,23.040240736415353,0.5072148914797557,0.5072148914797557,1.0144297829595115,3924795.0659894543,1086280.0
25,0.086330103,4.130525348,-4.044195245,3.0058047549999998,3.0058047549999998,3.0058047549999998,0.0,0.0,0.0,0.0,0.0,0.0,9.155228791209582,22.558386589509585,0.48185414690576794,0.48185414690576794,0.9637082938115359,3728555.3126899814,622750.0
26,0.085129506,5.220518186,-5.135388679999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.697467351649102,22.100625149949106,0.45776143956047954,0.45776143956047954,0.9155228791209591,3542127.547055482,413270.0
27,0.000181199,6.228297058,-6.228115859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.262593984066648,21.66575178236665,0.4348733675824555,0.4348733675824555,0.869746735164911,3365021.1697027073,313350.0
28,0.01014196,4.454174879,-4.444032919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8494642848633145,21.25262208316332,0.41312969920333276,0.41312969920333276,0.8262593984066655,3196770.1112175724,251470.0
29,0.0,5.466951161,-5.466951161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.456991070620148,20.860148868920156,0.39247321424316606,0.39247321424316606,0.7849464284863321,3036931.605656693,204260.0
30,0.140159629,6.184295192,-6.044135563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08414151708914,20.487299315389148,0.37284955353100774,0.37284955353100774,0.7456991070620155,2885085.0253738584,171760.0
31,0.0,3.049335191,-3.049335191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.729934441234683,20.13309223953469,0.3542070758544573,0.3542070758544573,0.7084141517089146,2740830.774105165,150880.0
32,1.680720913,4.272544749,-2.5918238359999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.393437719172948,19.796595517472955,0.3364967220617344,0.3364967220617344,0.6729934441234688,2603789.235399907,130880.0
33,0.00638761,3.624537716,-3.618150106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.073765833214301,19.476923631514307,0.3196718859586477,0.3196718859586477,0.6393437719172954,2473599.7736299112,113090.0
34,0.010236704,4.773344491,-4.763107786999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.770077541553586,19.17323533985359,0.3036882916607153,0.3036882916607153,0.6073765833214306,2349919.7849484156,104260.0
35,0.010322638,4.048474176,-4.038151538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.481573664475906,18.88473146277591,0.28850387707767955,0.28850387707767955,0.5770077541553591,2232423.795700995,95930.0
36,0.974121359,3.217464276,-2.2433429169999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.207494981252111,18.610652779552115,0.2740786832237956,0.2740786832237956,0.5481573664475912,2120802.6059159455,91890.0
37,0.488687162,5.87913903,-5.390451868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.947120232189506,18.35027803048951,0.26037474906260577,0.26037474906260577,0.5207494981252115,2014762.475620148,87950.0
38,0.249255382,3.124070152,-2.87481477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.699764220580031,18.102922018880033,0.2473560116094755,0.2473560116094755,0.494712023218951,1914024.351839141,85290.0
39,1.903996918,2.832301111,-0.928304193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.464776009551029,17.86793380785103,0.23498821102900175,0.23498821102900175,0.4699764220580035,1818323.1342471838,87680.0
40,0.109637744,4.778889882,-4.669252138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.241537209073477,17.64469500737348,0.22323880047755165,0.22323880047755165,0.4464776009551033,1727406.9775348245,74820.0
41,0.989758919,5.32241883,-4.332659911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.029460348619803,17.432618146919804,0.21207686045367402,0.21207686045367402,0.42415372090734804,1641036.628658083,70620.0
