Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-02-01,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-03-01,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-04-01,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-05-01,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-06-01,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-07-01,16.13184634,6.878303388,9.253542952,8.325,8.325,8.325,0.9285429520000008,0.9285429520000008,0.9285429520000008,0.9285429520000008,0.32499003320000025,0.6035529188000005,0.30874053154000025,0.5873034171400004,0.016249501660000026,0.016249501660000026,0.03249900332000005,125737.5621482537
7,1985-08-01,26.36965701,5.312735147,21.056921863,8.325,8.325,8.325,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.2947300244105,13.890369468910501,0.3839331591795004,0.3839331591795004,0.7678663183590008,2970849.2280684337
8,1985-09-01,7.680103929,5.555099494,2.125004435,8.325,8.325,8.325,2.125004435000001,2.125004435000001,2.125004435000001,2.125004435000001,0.7437515522500003,1.3812528827500008,7.636557497827474,14.869698272827478,0.40192407883302533,0.40192407883302533,0.8038481576660507,3110061.7667278703
9,1985-10-01,0.076426345,6.416250978,-6.339824633,1.9851753669999992,1.9851753669999992,1.9851753669999992,0.0,0.0,0.0,0.0,0.0,0.0,7.2547296229361,14.487870397936103,0.38182787489137404,0.38182787489137404,0.7636557497827481,2954558.6783914766
10,1985-11-01,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.891993141789295,14.125133916789297,0.36273648114680535,0.36273648114680535,0.7254729622936107,2806830.744471903
11,1985-12-01,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.54739348469983,13.780534259699833,0.34459965708946505,0.34459965708946505,0.6891993141789301,2666489.2072483073
12,1985-01-13,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.220023810464839,13.45316458546484,0.3273696742349918,0.3273696742349918,0.6547393484699836,2533164.7468858925
