Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-02-01,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-03-01,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-04-01,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-05-01,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-06-01,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-07-01,16.13184634,6.878303388,9.253542952,6.9,6.9,6.9,2.3535429519999997,2.3535429519999997,2.3535429519999997,2.3535429519999997,0.8237400331999999,1.5298029188,0.7825530315399999,1.48861591714,0.04118700166000003,0.04118700166000003,0.08237400332000006,318702.27710875374
7,1985-08-01,26.36965701,5.312735147,21.056921863,6.9,6.9,6.9,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.7448518994105,14.7679913439105,0.40762378417950035,0.40762378417950035,0.8152475683590007,3154165.7072809082
8,1985-09-01,7.680103929,5.555099494,2.125004435,6.9,6.9,6.9,2.1250044349999992,2.1250044349999992,2.1250044349999992,2.1250044349999992,0.7437515522499997,1.3812528827499995,8.064173279077473,15.724814054077473,0.4244301725830253,0.4244301725830253,0.8488603451660506,3284212.421979721
9,1985-10-01,0.076426345,6.416250978,-6.339824633,0.5601753670000003,0.5601753670000003,0.5601753670000003,0.0,0.0,0.0,0.0,0.0,0.0,7.660964615123598,15.3216053901236,0.403208663953874,0.403208663953874,0.806417327907748,3120001.8008807353
10,1985-11-01,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.277916384367418,14.938557159367418,0.3830482307561803,0.3830482307561803,0.7660964615123605,2964001.710836698
11,1985-12-01,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9140205651490465,14.574661340149047,0.3638958192183712,0.3638958192183712,0.7277916384367424,2815801.625294863
12,1985-01-13,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.568319536891594,14.228960311891594,0.34570102825745264,0.34570102825745264,0.6914020565149053,2675011.5440301197
