Day,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q,Q_obs
0,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357440.0
1,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320660.0
2,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261870.0
3,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226440.0
4,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205860.0
5,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207460.0
6,16.13184634,6.878303388,9.253542952,9.253542952,9.253542952,9.253542952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500260.0
7,26.36965701,5.312735147,21.056921863,10.5,10.5,10.5,19.810464815,19.810464815,19.810464815,19.810464815,6.93366268525,12.87680212975,6.5869795509874995,12.5301189954875,0.3466831342625003,0.3466831342625003,0.6933662685250006,2682611.0149203455,1141570.0
8,7.680103929,5.555099494,2.125004435,10.5,10.5,10.5,2.125004435000001,2.125004435000001,2.125004435000001,2.125004435000001,0.7437515522500003,1.3812528827500008,6.964194548075624,13.544835323075626,0.3665365551618753,0.3665365551618753,0.7330731103237506,2836235.464237187,1826320.0
9,0.076426345,6.416250978,-6.339824633,4.160175367,4.160175367,4.160175367,0.0,0.0,0.0,0.0,0.0,0.0,6.615984820671843,13.196625595671843,0.34820972740378153,0.34820972740378153,0.6964194548075631,2694423.691025328,1099420.0
10,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2851855796382505,12.865826354638251,0.33079924103359243,0.33079924103359243,0.6615984820671849,2559702.5064740614,633050.0
11,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.970926300656338,12.551567075656338,0.3142592789819128,0.3142592789819128,0.6285185579638256,2431717.3811503584,407600.0
12,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67237998562352,12.25302076062352,0.29854631503281714,0.29854631503281714,0.5970926300656343,2310131.5120928404,299220.0
13,0.0,6.029483829,-6.029483829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.388760986342343,11.969401761342345,0.28361899928117623,0.28361899928117623,0.5672379985623525,2194624.9364881977,235230.0
14,0.0,5.795325802,-5.795325802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.119322937025226,11.699963712025228,0.2694380493171174,0.2694380493171174,0.5388760986342348,2084893.6896637874,190800.0
15,0.0,6.041621874,-6.041621874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.863356790173964,11.443997565173968,0.2559661468512615,0.2559661468512615,0.511932293702523,1980649.005180598,158240.0
16,0.0,6.565525455,-6.565525455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.620188950665265,11.200829725665269,0.2431678395086984,0.2431678395086984,0.4863356790173968,1881616.554921568,141530.0
17,0.674244555,5.407655251,-4.733410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.389179503132002,10.969820278132005,0.23100944753326347,0.23100944753326347,0.46201889506652694,1787535.7271754893,133260.0
18,11.782044,4.405401108,7.3766428920000005,7.3766428920000005,7.3766428920000005,7.3766428920000005,0.0,0.0,0.0,0.0,0.0,0.0,4.169720527975402,10.750361302975405,0.21945897515660032,0.21945897515660032,0.43891795031320063,1698158.940816715,220010.0
19,0.0,4.023577008,-4.023577008,3.3530658840000003,3.3530658840000003,3.3530658840000003,0.0,0.0,0.0,0.0,0.0,0.0,3.9612345015766315,10.541875276576635,0.20848602639877029,0.20848602639877029,0.41697205279754057,1613250.9937758793,206910.0
20,0.000418827,5.130732427,-5.1303136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7631727764978,10.343813551497803,0.19806172507883174,0.19806172507883174,0.3961234501576635,1532588.444087085,183030.0
21,0.0,5.462528205,-5.462528205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57501413767291,10.155654912672913,0.18815863882489015,0.18815863882489015,0.3763172776497803,1455959.0218827308,155790.0
22,11.74209693,4.240612247,7.501484683000001,7.501484683000001,7.501484683000001,7.501484683000001,0.0,0.0,0.0,0.0,0.0,0.0,3.396263430789264,9.976904205789268,0.17875070688364567,0.17875070688364567,0.35750141376729133,1383161.0707885944,147990.0
23,20.59047187,4.743624237,15.846847633,10.5,10.5,10.5,12.848332316,12.848332316,12.848332316,12.848332316,4.4969163106,8.3514160054,7.4985207543198005,17.933661224119806,0.39465898706946356,0.39465898706946356,0.7893179741389271,3053844.970284058,916690.0
24,5.222102023,2.55535382,2.6667482029999996,10.5,10.5,10.5,2.666748202999999,2.666748202999999,2.666748202999999,2.666748202999999,0.9333618710499997,1.7333863319499996,8.01028849410131,19.245453424801315,0.4215941312684904,0.4215941312684904,0.8431882625369808,3262267.3230774486,1086280.0
25,0.086330103,4.130525348,-4.044195245,6.455804755,6.455804755,6.455804755,0.0,0.0,0.0,0.0,0.0,0.0,7.609774069396244,18.84493900009625,0.4005144247050659,0.4005144247050659,0.8010288494101317,3099153.956923576,622750.0
26,0.085129506,5.220518186,-5.135388679999999,1.3204160750000007,1.3204160750000007,1.3204160750000007,0.0,0.0,0.0,0.0,0.0,0.0,7.229285365926431,18.46445029662644,0.38048870346981256,0.38048870346981256,0.7609774069396251,2944196.259077397,413270.0
27,0.000181199,6.228297058,-6.228115859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8678210976301095,18.102986028330115,0.3614642682963219,0.3614642682963219,0.7229285365926438,2796986.446123527,313350.0
28,0.01014196,4.454174879,-4.444032919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5244300427486035,17.75959497344861,0.3433910548815058,0.3433910548815058,0.6867821097630116,2657137.1238173502,251470.0
29,0.0,5.466951161,-5.466951161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.198208540611173,17.43337347131118,0.32622150213743045,0.32622150213743045,0.6524430042748609,2524280.2676264825,204260.0
30,0.140159629,6.184295192,-6.044135563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.888298113580614,17.123463044280623,0.30991042703055893,0.30991042703055893,0.6198208540611179,2398066.2542451588,171760.0
31,0.0,3.049335191,-3.049335191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.593883207901583,16.829048138601593,0.29441490567903095,0.29441490567903095,0.5888298113580619,2278162.9415329006,150880.0
32,1.680720913,4.272544749,-2.5918238359999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3141890475065034,16.549353978206515,0.2796941603950794,0.2796941603950794,0.5593883207901588,2164254.7944562547,130880.0
33,0.00638761,3.624537716,-3.618150106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0484795951311785,16.28364452583119,0.2657094523753254,0.2657094523753254,0.5314189047506508,2056042.0547334421,113090.0
34,0.010236704,4.773344491,-4.763107786999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79605561537462,16.03122054607463,0.25242397975655917,0.25242397975655917,0.5048479595131183,1953239.9519967705,104260.0
35,0.010322638,4.048474176,-4.038151538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.556252834605888,15.791417765305898,0.23980278076873118,0.23980278076873118,0.47960556153746237,1855577.9543969317,95930.0
36,0.974121359,3.217464276,-2.2433429169999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.328440192875593,15.563605123575604,0.2278126417302946,0.2278126417302946,0.4556252834605892,1762799.056677085,91890.0
37,0.488687162,5.87913903,-5.390451868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.112018183231814,15.347183113931823,0.21642200964377986,0.21642200964377986,0.4328440192875597,1674659.1038432305,87950.0
38,0.249255382,3.124070152,-2.87481477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9064172740702228,15.141582204770232,0.20560090916159088,0.20560090916159088,0.41120181832318176,1590926.1486510693,85290.0
39,1.903996918,2.832301111,-0.928304193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7110964103667117,14.946261341066721,0.19532086370351132,0.19532086370351132,0.39064172740702263,1511379.8412185155,87680.0
40,0.109637744,4.778889882,-4.669252138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.525541589848376,14.760706520548386,0.18555482051833574,0.18555482051833574,0.3711096410366715,1435810.8491575897,74820.0
41,0.989758919,5.32241883,-4.332659911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.349264510355957,14.584429441055967,0.17627707949241894,0.17627707949241894,0.3525541589848379,1364020.30669971,70620.0
42,0.976491616,5.016785515,-4.040293899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.181801284838159,14.416966215538169,0.167463225517798,0.167463225517798,0.334926451035596,1295819.2913647247,67880.0
