Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-02-01,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-03-01,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-04-01,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-05-01,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-06-01,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-07-01,16.13184634,6.878303388,9.253542952,9.253542952,9.253542952,9.253542952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1985-08-01,26.36965701,5.312735147,21.056921863,11.1,11.1,11.1,19.210464815,19.210464815,19.210464815,19.210464815,6.72366268525,12.486802129750002,6.3874795509875,12.150618995487502,0.3361831342625003,0.3361831342625003,0.6723662685250006,2601362.7138843457
8,1985-09-01,7.680103929,5.555099494,2.125004435,11.1,11.1,11.1,2.1250044349999992,2.1250044349999992,2.1250044349999992,2.1250044349999992,0.7437515522499997,1.3812528827499995,6.774669548075624,13.175310323075626,0.3565615551618753,0.3565615551618753,0.7131231103237506,2759049.578252987
9,1985-10-01,0.076426345,6.416250978,-6.339824633,4.7601753669999995,4.7601753669999995,4.7601753669999995,0.0,0.0,0.0,0.0,0.0,0.0,6.4359360706718425,12.836576845671845,0.3387334774037815,0.3387334774037815,0.677466954807563,2621097.0993403373
10,1985-11-01,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11413926713825,12.514780042138252,0.3217968035335924,0.3217968035335924,0.6435936070671848,2490042.2443733206
11,1985-12-01,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.808432303781337,12.209073078781339,0.3057069633569128,0.3057069633569128,0.6114139267138256,2365540.1321546542
12,1985-01-13,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51801068859227,11.918651463592271,0.2904216151890671,0.2904216151890671,0.5808432303781342,2247263.1255469215
