Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-01-02,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-01-03,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-01-04,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-01-05,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-01-06,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-01-07,16.13184634,6.878303388,9.253542952,8.1,8.1,8.1,1.1535429520000005,1.1535429520000005,1.1535429520000005,1.1535429520000005,0.4037400332000001,0.7498029188000003,0.3835530315400001,0.7296159171400003,0.020187001660000023,0.020187001660000023,0.040374003320000046,156205.67503675367
7,1985-01-08,26.36965701,5.312735147,21.056921863,8.1,8.1,8.1,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.365801899410499,14.028941343910502,0.3876737841795003,0.3876737841795003,0.7753475683590006,2999793.935312508
8,1985-01-09,7.680103929,5.555099494,2.125004435,8.1,8.1,8.1,2.1250044349999992,2.1250044349999992,2.1250044349999992,2.1250044349999992,0.7437515522499997,1.3812528827499995,7.704075779077474,15.004716554077476,0.4054776725830253,0.4054776725830253,0.8109553451660506,3137559.2386097414
9,1985-01-10,0.076426345,6.416250978,-6.339824633,1.7601753669999995,1.7601753669999995,1.7601753669999995,0.0,0.0,0.0,0.0,0.0,0.0,7.3188719901236,14.619512765123602,0.385203788953874,0.385203788953874,0.770407577907748,2980681.276679254
10,1985-01-11,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.952928390617419,14.253569165617423,0.36594359950618033,0.36594359950618033,0.7318871990123607,2831647.2128452915
11,1985-01-12,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.605281971086548,13.905922746086551,0.3476464195308713,0.3476464195308713,0.6952928390617426,2690064.8522030264
