Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-02-01,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-03-01,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-04-01,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-05-01,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-06-01,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-07-01,16.13184634,6.878303388,9.253542952,7.275,7.275,7.275,1.9785429519999997,1.9785429519999997,1.9785429519999997,1.9785429519999997,0.6924900331999999,1.2860529187999998,0.6578655315399999,1.2514284171399999,0.03462450166000003,0.03462450166000003,0.06924900332000006,267922.08896125376
7,1985-08-01,26.36965701,5.312735147,21.056921863,7.275,7.275,7.275,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.626398774410499,14.5370382189105,0.40138940917950033,0.40138940917950033,0.8027788183590007,3105924.528540783
8,1985-09-01,7.680103929,5.555099494,2.125004435,7.275,7.275,7.275,2.1250044349999992,2.1250044349999992,2.1250044349999992,2.1250044349999992,0.7437515522499997,1.3812528827499995,7.951642810327473,15.499783585327473,0.4185075163330253,0.4185075163330253,0.8370150326660506,3238383.3021766027
9,1985-10-01,0.076426345,6.416250978,-6.339824633,0.9351753670000003,0.9351753670000003,0.9351753670000003,0.0,0.0,0.0,0.0,0.0,0.0,7.554060669811099,15.102201444811099,0.397582140516374,0.397582140516374,0.795164281032748,3076464.1370677724
10,1985-11-01,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.176357636320543,14.724498411320544,0.3777030334905553,0.3777030334905553,0.7554060669811106,2922640.930214383
11,1985-12-01,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.817539754504516,14.365680529504516,0.3588178818160275,0.3588178818160275,0.717635763632055,2776508.883703664
12,1985-01-13,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.47666276677929,14.02480354177929,0.34087698772522607,0.34087698772522607,0.6817539754504521,2637683.4395184806
